食品分類,樣品名稱,俗名,粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),糖質總量(g),鈉(mg),反式脂肪(mg),酒精含量(g)
穀物類,大麥仁,"小薏仁,洋薏仁,珍珠薏仁",8.6,1.6,0.5,77.1,0.4,13.0,0.0,
穀物類,大麥片,,8.6,1.8,0.5,76.7,,7.0,,
穀物類,大麥仁粉,"小薏仁粉,洋薏仁粉,珍珠薏仁粉",7.1,1.3,0.4,85.0,0.0,10.0,,
穀物類,小米,,11.3,3.7,0.4,71.7,,1.0,,
穀物類,糯小米,,12.5,1.5,0.3,72.5,0.0,1.0,,
穀物類,小麥,,14.1,2.6,0.5,69.2,,1.0,,
穀物類,小麥胚芽,,31.4,11.6,1.7,47.9,,3.0,,
穀物類,去筋麵粉,澄粉,0.2,0.1,0.0,85.7,0.0,29.0,,
穀物類,低筋麵粉,,8.1,1.2,0.2,78.2,,1.0,,
穀物類,中筋麵粉,,11.5,1.3,0.3,74.1,,4.0,,
穀物類,高筋麵粉,,12.9,1.2,0.3,73.1,,1.0,,
穀物類,高筋麵粉(2021年取樣),強力粉,13.8,1.3,0.5,72.2,0.3,1.0,0.0,
穀物類,全麥麵粉,,13.0,1.7,0.3,71.4,0.3,2.0,,
穀物類,雜糧中筋麵粉,,13.1,2.3,0.6,72.0,0.8,2.0,,
穀物類,雜糧高筋麵粉,,14.3,2.8,0.8,69.6,1.1,2.0,,
穀物類,白玉米,,3.4,0.6,,11.5,,5.0,,
穀物類,紫玉米,,4.5,1.0,0.3,34.4,,1.0,,
穀物類,甜玉米,"玉米,黃玉米",3.3,2.5,0.7,17.8,7.0,2.0,,
穀物類,雙色水果玉米,"玉米,黃玉米",3.1,2.6,0.7,17.5,7.8,0.0,,
穀物類,糯玉米,,4.7,1.9,0.5,33.4,1.1,1.0,,
穀物類,冷凍玉米粒,,3.1,8.2,,22.5,,8.0,,
穀物類,乾玉米粒,,10.9,3.9,0.6,72.2,0.5,1.0,,
穀物類,玉米胚芽,"玉米仁,珍珠米",7.0,0.9,0.1,80.3,0.0,1.0,,
穀物類,玉米粉,,0.3,0.4,0.1,88.3,0.0,14.0,,
穀物類,秈米平均值,"在來米,長米",7.8,0.9,0.4,77.4,0.0,2.0,,
穀物類,秈米(台中在來2號),"在來米,長米",8.2,1.0,,76.3,,2.0,,
穀物類,秈米(台中秈10號),"在來米,長米",7.4,0.7,0.3,78.5,0.0,2.0,,
穀物類,秈米(台中秈10號)(2024年取樣),"在來米,長米",6.1,0.6,0.2,79.8,0.1,0.0,0.0,
穀物類,?米平均值,"蓬萊米,圓米",7.0,0.7,0.2,77.8,0.1,2.0,,
穀物類,?米(台中189號),"蓬萊米,圓米",7.5,0.6,0.1,78.1,,3.0,,
穀物類,?米(台南11號),"蓬萊米,圓米",6.7,0.5,0.2,77.2,0.0,2.0,,
穀物類,?米(台?2號),"蓬萊米,圓米",7.2,0.5,0.1,78.7,0.0,2.0,,
穀物類,?米(台?8號),"蓬萊米,圓米",6.9,0.4,0.1,78.8,0.0,2.0,,
穀物類,?米(台?9號),"蓬萊米,圓米",6.6,0.6,0.2,78.2,0.0,2.0,,
穀物類,?米(台農71號),"蓬萊米,圓米,益全香米",7.9,0.6,0.2,77.8,0.1,2.0,,
穀物類,?米(高雄139號),"蓬萊米,圓米",6.1,1.2,0.3,78.5,0.4,2.0,,
穀物類,?米(高雄142號),"蓬萊米,圓米",7.0,0.6,,77.7,,4.0,,
穀物類,?米(高雄145號),,6.8,1.0,0.3,80.0,0.2,1.0,,
穀物類,?米(高雄139號)(2021年取樣),"蓬萊米,圓米",5.7,0.5,0.2,79.2,0.1,1.0,0.0,
穀物類,越光米,"蓬萊米,圓米",7.6,1.0,0.2,73.3,0.0,1.0,,
穀物類,越光米(台南16號)(2024年取樣),"蓬萊米,圓米",6.9,0.3,0.1,79.1,0.1,1.0,0.0,
穀物類,秈型糯米(台中糯70號),長糯米,7.9,0.9,0.2,78.4,,1.0,,
穀物類,?型糯米平均值,圓糯米,8.3,0.8,0.2,77.4,,3.0,,
穀物類,?型糯米,圓糯米,8.4,0.5,0.1,78.0,,2.0,,
穀物類,?型糯米(台?糯1號),圓糯米,8.2,1.1,,76.8,,4.0,,
穀物類,野生紅米,,7.7,2.6,0.6,74.7,0.3,8.0,,
穀物類,紅糯糙米,,9.9,2.8,0.7,72.6,0.3,1.0,,
穀物類,黑秈糯糙米,"黑糯米,紫糯米,紫米,貢米,長生米",10.1,3.5,0.9,70.1,,3.0,,
穀物類,胚芽秈米(台中秈10號),,8.3,2.1,0.5,76.1,0.5,2.0,,
穀物類,胚芽?米平均值,,8.2,1.6,0.5,76.8,0.2,1.0,,
穀物類,胚芽?米(台?10號）,,7.3,1.7,0.5,77.2,0.0,1.0,,
穀物類,胚芽?米(台?9號),,9.1,1.5,0.4,76.5,0.3,2.0,,
穀物類,發芽?米平均值,發芽糙米,7.8,2.3,0.5,74.0,0.2,3.0,,
穀物類,發芽?米(台?71號),"發芽糙米,益全香米發芽米",7.4,2.8,0.6,73.9,0.3,3.0,,
穀物類,發芽?米(台?9號）,發芽糙米,8.2,1.9,0.5,74.1,0.0,3.0,,
穀物類,糙秈米,糙米,7.3,3.2,0.8,73.6,0.3,4.0,,
穀物類,糙?米平均值,糙米,7.4,2.3,0.6,76.6,0.5,3.0,,
穀物類,糙?米(台?71號),益全香米糙米,9.0,2.6,0.5,73.6,0.5,3.0,,
穀物類,糙?米(台?9號),糙米,7.4,2.3,0.6,76.6,0.5,3.0,,
穀物類,黑秈糙米,黑米,7.5,3.5,0.9,74.0,0.8,1.0,0.0,
穀物類,加鈣米,,7.4,0.7,0.2,77.7,,8.0,,
穀物類,高纖米,高纖蓬萊米,8.3,2.5,0.5,75.2,,3.0,,
穀物類,五穀米,,8.7,2.9,0.8,72.9,0.9,2.0,,
穀物類,米胚芽,,17.0,12.7,3.0,52.9,,5.0,,
穀物類,秈米粉,在來米粉,4.2,0.4,0.1,83.4,0.0,10.0,,
穀物類,糙米粉,,11.3,3.2,,78.1,,6.0,,
穀物類,白糯米粉,,4.5,0.4,0.1,82.3,0.0,16.0,,
穀物類,白飯,,3.1,0.3,0.1,41.0,,2.0,,
穀物類,高梁,,11.0,3.0,0.7,73.6,0.0,3.0,,
穀物類,糯高梁,,10.7,1.0,0.2,75.7,,0.0,,
穀物類,黑麥片,,7.8,1.2,0.3,77.3,,1.0,,
穀物類,燕麥,,10.9,10.2,1.9,67.4,,4.0,,
穀物類,燕麥片,,12.3,9.7,,64.1,,3.0,,
穀物類,即食燕麥片,,11.9,9.6,1.7,67.9,0.9,3.0,,
穀物類,蕎麥(甜蕎),三角米,11.0,2.9,0.6,71.3,,2.0,,
穀物類,薏仁,"薏仁,薏苡仁",14.1,6.1,0.9,66.2,,2.0,,
穀物類,糙薏仁,紅薏仁,13.7,7.4,1.1,65.9,0.4,1.0,,
穀物類,薏仁粉,,10.9,3.5,0.5,80.0,,11.0,,
穀物類,紅藜麥,,12.1,6.7,0.9,66.8,1.6,2.0,0.0,
